"YEAR","QUARTER","SKU","SKU_Description","Product","Currency","List_Price","Unit_of_Measure","Cores","Nodes","Sockets","Virtual_Guests","Support_Level","Support_Type","Category","Region","Country","Service_Term"
"2025","Q3","MCT3945","Red Hat Advanced Cluster Management for Kubernetes, Premium  (2 Core or 4 vCPU)","ACM - Advanced Cluster Management","USD","1.100,00","CORE BAND","2","0","0","0","L1-L3","Premium","SUBSCRIPTIONS - ELS","LATAM","ALL","1 YEARS"
"2025","Q3","MCT3946","Red Hat Advanced Cluster Management for Kubernetes, Standard  (2 Core or 4 vCPU)","ACM - Advanced Cluster Management","USD","743,00","CORE BAND","2","0","0","0","L1-L3","Standard","SUBSCRIPTIONS - ELS","LATAM","ALL","1 YEARS"
"2025","Q3","MCT3968","Red Hat Advanced Cluster Management for Kubernetes for Distributed Computing (Edge Server), Premium  (2 Core or 4 vCPU)","ACM - Advanced Cluster Management","USD","330,00","CORE BAND","2","0","0","0","L1-L3","Premium","SUBSCRIPTIONS - DIST COMPUTING","LATAM","ALL","1 YEARS"
"2025","Q3","MCT3969","Red Hat Advanced Cluster Management for Kubernetes for Distributed Computing (Edge Server), Standard  (2 Core or 4 vCPU)","ACM - Advanced Cluster Management","USD","220,00","CORE BAND","2","0","0","0","L1-L3","Standard","SUBSCRIPTIONS - DIST COMPUTING","LATAM","ALL","1 YEARS"
"2025","Q3","MCT4209","Red Hat Advanced Cluster Management for Kubernetes (Bare Metal Nodes) for Distributed Computing (Edge Server), Premium (1-2 sockets)","ACM - Advanced Cluster Management","USD","2.970,00","EACH","0","0","2","0","L1-L3","Premium","SUBSCRIPTIONS - DIST COMPUTING","LATAM","ALL","1 YEARS"
"2025","Q3","MCT4210","Red Hat Advanced Cluster Management for Kubernetes (Bare Metal Nodes) for Distributed Computing (Edge Server), Standard (1-2 sockets)","ACM - Advanced Cluster Management","USD","660,00","EACH","0","0","2","0","L1-L3","Standard","SUBSCRIPTIONS - DIST COMPUTING","LATAM","ALL","1 YEARS"
"2025","Q3","MW02612","Red Hat Advanced Cluster Management for Kubernetes for IBM Power LE, Premium (2 Cores)","ACM - Advanced Cluster Management","USD","3.300,00","CORE BAND","2","0","0","0","L1-L3","Premium","SUBSCRIPTIONS","LATAM","ALL","1 YEARS"
"2025","Q3","MW02613","Red Hat Advanced Cluster Management for Kubernetes for IBM Power LE, Standard (2 Cores)","ACM - Advanced Cluster Management","USD","2.228,00","CORE BAND","2","0","0","0","L1-L3","Standard","SUBSCRIPTIONS","LATAM","ALL","1 YEARS"
"2025","Q3","MW02614","Red Hat Advanced Cluster Management for Kubernetes for IBM Z and IBM LinuxONE, Premium (1 Core)","ACM - Advanced Cluster Management","USD","1.650,00","IFL","1","0","0","0","L1-L3","Premium","SUBSCRIPTIONS","LATAM","ALL","1 YEARS"
"2025","Q3","MW02615","Red Hat Advanced Cluster Management for Kubernetes for IBM Z and IBM LinuxONE, Standard (1 Core)","ACM - Advanced Cluster Management","USD","1.114,00","IFL","1","0","0","0","L1-L3","Standard","SUBSCRIPTIONS","LATAM","ALL","1 YEARS"
"2025","Q3","MW03318","Red Hat Advanced Cluster Management for Kubernetes Extended Update Support Long-Life Add-On - Term 1 (2 Cores or 4 vCPUs)","ACM - Advanced Cluster Management","USD","186,00","CORE BAND","2","0","0","0","L1-L3","Layered","SUBSCRIPTIONS - EUS","LATAM","ALL","1 YEARS"
"2025","Q3","MW03319","Red Hat Advanced Cluster Management for Kubernetes Extended Update Support Long-Life Add-On - Term 2 (2 Cores or 4 vCPUs)","ACM - Advanced Cluster Management","USD","550,00","CORE BAND","2","0","0","0","L1-L3","Layered","SUBSCRIPTIONS - EUS","LATAM","ALL","1 YEARS"
"2025","Q3","MW03326","Red Hat Advanced Cluster Management for Kubernetes for Distributed Computing (Edge Server) Extended Update Support Long-Life Add-On - Term 1 (2 Cores or 4 vCPUs)","ACM - Advanced Cluster Management","USD","56,00","CORE BAND","2","0","0","0","L1-L3","Layered","SUBSCRIPTIONS - DIST COMPUTING","LATAM","ALL","1 YEARS"
"2025","Q3","MW03327","Red Hat Advanced Cluster Management for Kubernetes for Distributed Computing (Edge Server) Extended Update Support Long-Life Add-On - Term 2 (2 Cores or 4 vCPUs)","ACM - Advanced Cluster Management","USD","165,00","CORE BAND","2","0","0","0","L1-L3","Layered","SUBSCRIPTIONS - DIST COMPUTING","LATAM","ALL","1 YEARS"
"2025","Q3","MW03342","Red Hat Advanced Cluster Management for Kubernetes for Distributed Computing (Edge Server) Extended Update Support Long-Life Add-On - Term 1 (Bare Metal Node, 1-2 Sockets up to 128 Cores)","ACM - Advanced Cluster Management","USD","501,00","PHYSICAL NODE","0","0","2","0","L1-L3","Layered","SUBSCRIPTIONS - DIST COMPUTING","LATAM","ALL","1 YEARS"
"2025","Q3","MW03343","Red Hat Advanced Cluster Management for Kubernetes for Distributed Computing (Edge Server) Extended Update Support Long-Life Add-On - Term 2 (Bare Metal Node, 1-2 Sockets up to 128 Cores)","ACM - Advanced Cluster Management","USD","1.485,00","PHYSICAL NODE","0","0","2","0","L1-L3","Layered","SUBSCRIPTIONS - DIST COMPUTING","LATAM","ALL","1 YEARS"
"2025","Q3","MW03358","Red Hat Advanced Cluster Management for Kubernetes for IBM Power, LE, Extended Update Support Long-Life Add-On - Term 1 (2 Cores)","ACM - Advanced Cluster Management","USD","557,00","CORE BAND","2","0","0","0","L1-L3","Layered","SUBSCRIPTIONS - EUS","LATAM","ALL","1 YEARS"
"2025","Q3","MW03359","Red Hat Advanced Cluster Management for Kubernetes for IBM Power, LE, Extended Update Support Long-Life Add-On - Term 2 (2 Cores)","ACM - Advanced Cluster Management","USD","1.650,00","CORE BAND","2","0","0","0","L1-L3","Layered","SUBSCRIPTIONS - EUS","LATAM","ALL","1 YEARS"
"2025","Q3","MW03362","Red Hat Advanced Cluster Management for Kubernetes for IBM Z and IBM LinuxONE Extended Update Support Long-Life Add-On - Term 1 (1 Core)","ACM - Advanced Cluster Management","USD","279,00","CORE BAND","1","0","0","0","L1-L3","Layered","SUBSCRIPTIONS - EUS","LATAM","ALL","1 YEARS"
"2025","Q3","MW03363","Red Hat Advanced Cluster Management for Kubernetes for IBM Z and IBM LinuxONE Extended Update Support Long-Life Add-On - Term 2 (1 Core)","ACM - Advanced Cluster Management","USD","825,00","CORE BAND","1","0","0","0","L1-L3","Layered","SUBSCRIPTIONS - EUS","LATAM","ALL","1 YEARS"
"2025","Q3","MW04125","Red Hat Advanced Cluster Management for Virtualization (Bare Metal Node), Premium (1-2 sockets up to 128 cores)","ACM - Advanced Cluster Management","USD","2.200,00","PHYSICAL NODE","0","0","2","0","L1-L3","Premium","SUBSCRIPTIONS","LATAM","ALL","1 YEARS"
"2025","Q3","MW04126","Red Hat Advanced Cluster Management for Virtualization (Bare Metal Node), Standard (1-2 sockets up to 128 cores)","ACM - Advanced Cluster Management","USD","1.467,00","PHYSICAL NODE","0","0","2","0","L1-L3","Standard","SUBSCRIPTIONS","LATAM","ALL","1 YEARS"
"2025","Q3","MW04253","Red Hat Advanced Cluster Management for Kubernetes (Bare Metal Node) Extended Update Support Long-Life Add-On - Term 1 (1-2 Sockets up to 128 Cores)","ACM - Advanced Cluster Management","USD","1.671,00","PHYSICAL NODE","0","0","2","0","L1-L3","Layered","SUBSCRIPTIONS - EUS","LATAM","ALL","1 YEARS"
"2025","Q3","MW04254","Red Hat Advanced Cluster Management for Kubernetes (Bare Metal Node) Extended Update Support Long-Life Add-On - Term 2 (1-2 Sockets up to 128 Cores)","ACM - Advanced Cluster Management","USD","4.950,00","PHYSICAL NODE","0","0","2","0","L1-L3","Layered","SUBSCRIPTIONS - EUS","LATAM","ALL","1 YEARS"
"2025","Q3","MW04496","Red Hat Advanced Cluster Management for Kubernetes (Bare Metal Node), Premium (1-2 Sockets up to 128 Cores)","ACM - Advanced Cluster Management","USD","9.900,00","PHYSICAL NODE","0","0","2","0","L1-L3","Premium","SUBSCRIPTIONS","LATAM","ALL","1 YEARS"
"2025","Q3","MW04497","Red Hat Advanced Cluster Management for Kubernetes (Bare Metal Node), Standard (1-2 Sockets up to 128 Cores)","ACM - Advanced Cluster Management","USD","6.600,00","PHYSICAL NODE","0","0","2","0","L1-L3","Standard","SUBSCRIPTIONS","LATAM","ALL","1 YEARS"
"2025","Q3","MW04773","Red Hat Advanced Cluster Management for Virtualization (Bare Metal Node), Premium (1-2 sockets up to 128 cores, Academic)","ACM - Advanced Cluster Management","USD","660,00","PHYSICAL NODE","0","0","2","0","L1-L3","Premium","SUBSCRIPTIONS","LATAM","ALL","1 YEARS"
"2025","Q3","MW04774","Red Hat Advanced Cluster Management for Virtualization (Bare Metal Node), Standard (1-2 sockets up to 128 cores, Academic)","ACM - Advanced Cluster Management","USD","440,00","PHYSICAL NODE","0","0","2","0","L1-L3","Standard","SUBSCRIPTIONS","LATAM","ALL","1 YEARS"
"2025","Q3","MW01659","Red Hat Advanced Cluster Security for Kubernetes, Premium (2 Cores or 4 VCPUs)","ACS - Advanced Cluster Security","USD","825,00","CORE BAND","2","0","0","0","L1-L3","Premium","SUBSCRIPTIONS - ELS","LATAM","ALL","1 YEARS"
"2025","Q3","MW01660","Red Hat Advanced Cluster Security for Kubernetes, Standard (2 Cores or 4 VCPUs)","ACS - Advanced Cluster Security","USD","550,00","CORE BAND","2","0","0","0","L1-L3","Standard","SUBSCRIPTIONS - ELS","LATAM","ALL","1 YEARS"
"2025","Q3","MW01863","Red Hat Advanced Cluster Security for Kubernetes (Bare Metal Node) for Distributed Computing (Edge Server), Premium (1-2 sockets up to 64 cores)","ACS - Advanced Cluster Security","USD","743,00","PHYSICAL NODE","0","0","2","0","L1-L3","Premium","SUBSCRIPTIONS - DIST COMPUTING","LATAM","ALL","1 YEARS"
"2025","Q3","MW01864","Red Hat Advanced Cluster Security for Kubernetes (Bare Metal Node) for Distributed Computing (Edge Server), Standard (1-2 sockets up to 64 cores)","ACS - Advanced Cluster Security","USD","495,00","PHYSICAL NODE","0","0","2","0","L1-L3","Standard","SUBSCRIPTIONS - DIST COMPUTING","LATAM","ALL","1 YEARS"
"2025","Q3","MW01867","Red Hat Advanced Cluster Security for Kubernetes for Distributed Computing (Edge Server), Premium (2 Cores or 4 VCPUs)","ACS - Advanced Cluster Security","USD","248,00","CORE BAND","2","0","0","0","L1-L3","Premium","SUBSCRIPTIONS - DIST COMPUTING","LATAM","ALL","1 YEARS"
"2025","Q3","MW01868","Red Hat Advanced Cluster Security for Kubernetes for Distributed Computing (Edge Server), Standard (2 Cores or 4 VCPUs)","ACS - Advanced Cluster Security","USD","165,00","CORE BAND","2","0","0","0","L1-L3","Standard","SUBSCRIPTIONS - DIST COMPUTING","LATAM","ALL","1 YEARS"
